('None', 'Custom', 'COX', 'KNN -> RFE -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8510021786492374)

('None', 'Custom', 'COX', 'KNN -> RFE -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.83487407086671)

('None', 'Custom', 'COX', 'KNN -> RFE -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8513533834586466)

('None', 'Custom', 'COX', 'KNN -> RFE -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8360911698318144)

('None', 'Custom', 'COX', 'KNN -> RFE -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8281398121492337)

('None', 'Custom', 'COX', 'KNN -> RFE -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8212567541341941)

('None', 'Custom', 'COX', 'KNN -> LASSO -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8397873707830898)

('None', 'Custom', 'COX', 'KNN -> LASSO -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8373712522413578)

('None', 'Custom', 'COX', 'KNN -> LASSO -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8465413533834586)

('None', 'Custom', 'COX', 'KNN -> LASSO -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8320095718140624)

('None', 'Custom', 'COX', 'KNN -> LASSO -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8345655412813089)

('None', 'Custom', 'COX', 'KNN -> LASSO -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8209350070988631)

('None', 'Custom', 'COX', 'KNN -> UC -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.6813720684509221)

('None', 'Custom', 'COX', 'KNN -> UC -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.6503273424794629)

('None', 'Custom', 'COX', 'KNN -> UC -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.6631766917293233)

('None', 'Custom', 'COX', 'KNN -> UC -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.6161473448398758)

('None', 'Custom', 'COX', 'KNN -> UC -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.6368453602451297)

('None', 'Custom', 'COX', 'KNN -> UC -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.6289797044012951)

('None', 'Custom', 'COX', 'Mean -> IG -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8193849874187118)

('None', 'Custom', 'COX', 'Mean -> IG -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8108572063995108)

('None', 'Custom', 'COX', 'Mean -> IG -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8243233082706767)

('None', 'Custom', 'COX', 'Mean -> IG -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.788198156916654)

('None', 'Custom', 'COX', 'Mean -> IG -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.7968515447108763)

('None', 'Custom', 'COX', 'Mean -> IG -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.7920594874518656)

