('None', 'Custom', 'COX', 'Mean -> DBID -> MR -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.7986652071347352)

('None', 'Custom', 'COX', 'Mean -> DBID -> MR -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8360911698318144)

('None', 'Custom', 'COX', 'Mean -> DBID -> MR -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8362014832917537)

('None', 'Custom', 'COX', 'Mean -> DBID -> MR -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.7922458123313477)

('None', 'Custom', 'COX', 'Mean -> ED -> MUO -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.658020933238814)

('None', 'Custom', 'COX', 'Mean -> ED -> MUO -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8595103067706379)

('None', 'Custom', 'COX', 'Mean -> ED -> MUO -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8535229278734554)

('None', 'Custom', 'COX', 'Mean -> ED -> MUO -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.8108711062924816)

('None', 'Custom', 'COX', 'Mean -> ED -> MR -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.633393303910269)

('None', 'Custom', 'COX', 'Mean -> ED -> MR -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8360835465099935)

('None', 'Custom', 'COX', 'Mean -> ED -> MR -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8332555589913698)

('None', 'Custom', 'COX', 'Mean -> ED -> MR -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.7966997441880077)

('None', 'Custom', 'COX', 'MI -> DBT -> MUO -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.8146245009508697)

('None', 'Custom', 'COX', 'MI -> DBT -> MUO -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8627158348131636)

('None', 'Custom', 'COX', 'MI -> DBT -> MUO -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8240198486165161)

('None', 'Custom', 'COX', 'MI -> DBT -> MUO -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.8121434238863491)

('None', 'Custom', 'COX', 'MI -> DBT -> MR -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.7972278684003554)

('None', 'Custom', 'COX', 'MI -> DBT -> MR -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8156338416596018)

('None', 'Custom', 'COX', 'MI -> DBT -> MR -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8459393481302923)

('None', 'Custom', 'COX', 'MI -> DBT -> MR -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.7969316568440191)

('None', 'Custom', 'COX', 'MI -> DBID -> MUO -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.684534445106214)

('None', 'Custom', 'COX', 'MI -> DBID -> MUO -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8686248079997492)

('None', 'Custom', 'COX', 'MI -> DBID -> MUO -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8677157455879126)

('None', 'Custom', 'COX', 'MI -> DBID -> MUO -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.8256063028327221)

('None', 'Custom', 'COX', 'MI -> DBID -> MR -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.6213532915839316)

('None', 'Custom', 'COX', 'MI -> DBID -> MR -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8362014832917537)

('None', 'Custom', 'COX', 'MI -> DBID -> MR -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8313392054036625)

('None', 'Custom', 'COX', 'MI -> DBID -> MR -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.7932810617246236)

('None', 'Custom', 'COX', 'MI -> ED -> MUO -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.8146796769664874)

('None', 'Custom', 'COX', 'MI -> ED -> MUO -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8542546980985211)

('None', 'Custom', 'COX', 'MI -> ED -> MUO -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8490263124973938)

('None', 'Custom', 'COX', 'MI -> ED -> MUO -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.8133452872412883)

('None', 'Custom', 'COX', 'MI -> ED -> MR -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.8038006353132994)

('None', 'Custom', 'COX', 'MI -> ED -> MR -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8002136451803334)

('None', 'Custom', 'COX', 'MI -> ED -> MR -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8315632642734658)

('None', 'Custom', 'COX', 'MI -> ED -> MR -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.8002136451803334)

('None', 'Custom', 'COX', 'Median -> DBT -> MUO -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.6595760758680621)

('None', 'Custom', 'COX', 'Median -> DBT -> MUO -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.7884409516252944)

('None', 'Custom', 'COX', 'Median -> DBT -> MUO -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8233523507260614)

('None', 'Custom', 'COX', 'Median -> DBT -> MUO -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.7839699751892294)

('None', 'Custom', 'COX', 'Median -> DBT -> MR -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.636941666751785)

('None', 'Custom', 'COX', 'Median -> DBT -> MR -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8160015525571228)

('None', 'Custom', 'COX', 'Median -> DBT -> MR -> LASSO -> COX', 'C-Index', 'Quality Metric: ', 0.8459393481302923)

('None', 'Custom', 'COX', 'Median -> DBT -> MR -> IG -> COX', 'C-Index', 'Quality Metric: ', 0.7954914558287285)

('None', 'Custom', 'COX', 'Median -> DBID -> MUO -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.6853442420822754)

('None', 'Custom', 'COX', 'Median -> DBID -> MUO -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.8686248079997492)

